,username,date,tweet,language,hashtags
1401,emmanuelmacron,2020-01-27,"J’appelle à ce que chacune et chacun apporte au Mémorial de la Shoah ses archives. Que ces carnets qui paraissent innocents, ces lettres retrouvées, soient à chaque fois vus comme des traces indispensables, qui aideront à poursuivre le travail des historiens et de la mémoire.  https://t.co/4j808EWaL9",fr,[]
1400,emmanuelmacron,2020-01-27,"Aujourd’hui encore, parce qu’ils sont nés juifs, des femmes, des hommes, des enfants sont insultés, méprisés, frappés, parfois tués.  https://t.co/UoDF1djsoJ",fr,[]
1399,emmanuelmacron,2020-01-27,Ne rien céder à l’antisémitisme qui revient.  https://t.co/cxq0xAm6SV,fr,[]
1398,emmanuelmacron,2020-01-29,"La Grèce et la France sont liées par une même vision stratégique, géopolitique de l'Europe et de la Méditerranée, dont la stabilité et la sécurité ont toujours déterminé celles de l’Europe toute entière. Avec @kmitsotakis, nous allons renforcer nos initiatives communes.  https://t.co/eQ9UUut0gp",fr,[]
1396,emmanuelmacron,2020-01-30,Réconcilier industrie et écologie.  https://t.co/jFOgPB2p7U,fr,[]
1397,emmanuelmacron,2020-01-30,"EN DIRECT | Avec les salariés de l’usine Saft, à Nersac, une entreprise qui a fait le choix de la France, de l’Europe, et de la transition écologique.  https://t.co/FyC7X5TtyX",fr,[]
1395,emmanuelmacron,2020-01-31,"À minuit, pour la première fois en 70 ans, un pays quittera l’Union européenne. C'est un signal d'alarme historique qui doit retentir dans chacun de nos pays. Message sur le Brexit :  https://t.co/JdUn8rhuCp",fr,[]
1385,emmanuelmacron,2020-01-31,"Face au choc du Brexit, l’Europe doit être plus forte et rester unie dans la négociation qui s’engage. Pour défendre les intérêts des Français et des Européens.",fr,[]
1386,emmanuelmacron,2020-01-31,"C’est un jour triste. Mais c'est un jour qui doit nous conduire à procéder différemment, à bâtir une Union européenne puissante, efficace, qui parvienne à vous convaincre davantage et à retrouver le fil de cette histoire qui fait de l’Europe une aventure unique et irremplaçable.",fr,[]
1387,emmanuelmacron,2020-01-31,"Entre la France et le Royaume-Uni, c’est une histoire longue faite de sang, de liberté, de courage et de combats que nous avons en partage. Les Français savent ce qu’ils doivent au peuple britannique, nous ne l’oublierons pas. Notre relation continuera à être forte.",fr,[]
1388,emmanuelmacron,2020-01-31,"On ne peut pas être à la fois dedans et dehors. Le peuple britannique a choisi de quitter l'Union européenne. Il n'aura plus les mêmes devoirs, il n'aura donc plus les mêmes droits.",fr,[]
1394,emmanuelmacron,2020-01-31,"La campagne du Brexit en 2016 a été faite de mensonges, d’exagérations et de simplifications. Il faut à chaque instant nous souvenir de ce à quoi le mensonge peut conduire dans nos démocraties.",fr,[]
1390,emmanuelmacron,2020-01-31,"Vous ne vous réveillerez pas demain matin avec des règles différentes pour votre quotidien. Pendant cette année de transition, le changement n'est qu'institutionnel.",fr,[]
1393,emmanuelmacron,2020-01-31,"Plus que jamais nous avons besoin d’Europe. Face à la Chine ou aux États-Unis, face à la transition climatique, nous avons besoin de plus d’Europe. Pour réussir à nous nourrir, pour faire face aux grandes transformations, nous avons besoin de plus d’Europe.  https://t.co/0v5SnvN5Je",fr,[]
1389,emmanuelmacron,2020-01-31,"Nous devons bâtir avec le Royaume-Uni notre relation de demain. C'est tout l'objet de la négociation qui commence. Je suis profondément attaché à ce que durant cette négociation, les intérêts des Français soient préservés.  https://t.co/UvMwz28MXv",fr,[]
1391,emmanuelmacron,2020-01-31,L'impact concret du Brexit pour vous :  https://t.co/jkgRvkHhEw,fr,[]
1392,emmanuelmacron,2020-01-31,"L'Europe ne pourra continuer d’avancer que si nous la réformons en profondeur pour la rendre plus souveraine, plus démocratique, plus proche de nos concitoyens et donc plus simple aussi dans son quotidien.",fr,[]
1383,emmanuelmacron,2020-02-03,"Avec @AndrzejDuda : la Pologne et la France ont devant elles beaucoup de projets et de défis. Je souhaite que cette visite marque un tournant dans le rôle que nous pouvons jouer en Europe, pour relever les défis de la sécurité, du climat, de la souveraineté.  https://t.co/S9ZbOAJyQb",fr,[]
1382,emmanuelmacron,2020-02-03,"Nous devons tous regarder l'histoire en face, et chacun toute notre histoire, sans chercher à la détourner, à la masquer non plus ou à l'instrumentaliser. J’ai défendu avec force la Pologne et le peuple polonais face aux attaques inacceptables dont cette mémoire a fait l'objet.  https://t.co/HKXkkM76Vs",fr,[]
1381,emmanuelmacron,2020-02-03,"Le but de l'Europe de la Défense ? Que les Polonaises et les Polonais puissent se dire : « le jour où je suis attaqué, je sais que l'Europe me protège ». Ce jour-là le sentiment européen sera indestructible.  https://t.co/EGGkjrmZbK",fr,[]
1379,emmanuelmacron,2020-02-03,Les intérêts de sécurité et de stabilité de l’Europe sont pour la France une priorité absolue et la seule ligne de conduite.,fr,[]
1378,emmanuelmacron,2020-02-03,"Nous savons les efforts que la Pologne, pays historiquement dépendant du charbon, va devoir faire pour réussir sa transition climatique et atteindre la neutralité carbone en 2050. La France plaidera au niveau européen pour qu’elle soit aidée via des mécanismes d’accompagnement.",fr,[]
1377,emmanuelmacron,2020-02-03,On peut conjuguer l’attachement à sa patrie avec la volonté d’avoir une Europe forte qui défend cette souveraineté.  https://t.co/c9guM9QkMq,fr,[]
1376,emmanuelmacron,2020-02-03,"La France ne s’est jamais cachée sur le sujet du respect de l’État de droit. C’est un sujet européen, car il nous concerne tous. C’est pourquoi nous soutenons pleinement la Commission pour défendre nos valeurs.  https://t.co/cS3l7Wuk8o",fr,[]
1380,emmanuelmacron,2020-02-03,"La France n’est ni pro-russe, ni anti-russe, elle est pro-européenne. Même si elle n’est pas dans l’Union européenne, la Russie est dans l’Europe. Et nous n’avons aucun intérêt à ne pas regarder en face notre relation avec la Russie et à laisser des malentendus.",fr,[]
1369,emmanuelmacron,2020-02-04,"L’Europe est une aventure impossible, pensée par des rêveurs et portée par les peuples. Tous les cyniques ont toujours voulu la détruire. Tous les gens sérieux ont toujours cherché à la ralentir. Soyez des fous et des rêveurs. Ne laissez pas les autres écrire votre avenir.",fr,[]
1367,emmanuelmacron,2020-02-04,"Un grand Européen qui a toujours regardé notre histoire en face, avec une certaine idée de l’Europe qui doit nous guider.",fr,[]
1368,emmanuelmacron,2020-02-04,"George Steiner nous a quittés hier. Nul mieux que lui n’a décrit la culture et l’esprit européens. Cette Europe des langues, des écrivains et des cafés, chaleureuse et humaine, loin des routines qui l’assèchent.",fr,[]
1370,emmanuelmacron,2020-02-04,"À la jeune génération européenne : ne cédez à aucun vent mauvais, à aucun mensonge. Voyez loin, voyez large, voyez plus loin que nous.  https://t.co/ozQYSSDGoa",fr,[]
1372,emmanuelmacron,2020-02-04,"Quand l'Europe bouge, elle entraîne les autres avec elle !  https://t.co/Zst3AnqryO",fr,[]
1371,emmanuelmacron,2020-02-04,"L’Europe est le meilleur moyen d’être nous-même en plus grand, respectueux de nos différences et d’appréhender ces trois grands défis que sont la sécurité, le climat et le savoir.",fr,[]
1375,emmanuelmacron,2020-02-04,"EN DIRECT | En Pologne, devant les étudiants de l’Université Jagellonne de Cracovie.  https://t.co/YuTjea1XaK",fr,[]
1374,emmanuelmacron,2020-02-04,"Pour votre génération, bâtissons une mémoire européenne partagée.  https://t.co/Xr9LWcnfBM",fr,[]
1373,emmanuelmacron,2020-02-04,"L’Europe n'est pas seulement un marché, c'est un socle de valeurs existentielles. On ne peut pas prendre la part d’Europe qui nous arrange et prendre ses distances avec l’autre.  https://t.co/HZYwiAjYsg",fr,[]
1366,emmanuelmacron,2020-02-05,EN DIRECT | Déclaration avec le Président de la République argentine @alferdez.  https://t.co/UOnuzBbJaa,fr,[]
1365,emmanuelmacron,2020-02-11,Détourner le regard en croisant une personne en situation de handicap est l’aveu de sa propre faiblesse. Tous mobilisés pour une Nation unie où chacun d’entre nous sait que le handicap le concerne. Et l’engage.,fr,[]
