,username,date,tweet,language,hashtags
1046,borisjohnson,2020-03-17,.@CMO_England Chris Whitty outlines how updated  #coronavirus advice will impact:   ▶️ People aged 70+ ▶️ Adults who would normally be advised to have the flu vaccination ▶️ People with chronic diseases ▶️ Pregnant women   https://t.co/meymkGzBj3  https://t.co/DipjADBvOw,en,['coronavirus']
1044,borisjohnson,2020-03-17,Use these trusted sources of information for the latest advice and guidance on #coronavirus  🩺 Check your symptoms:  https://t.co/uL9bBXzV0F 🏥 Health guidance:  https://t.co/47UIka9nis ℹ All information on coronavirus:  https://t.co/kdHUGOW5he  https://t.co/vwKPJV2CII,en,['coronavirus']
1043,borisjohnson,2020-03-17,“We will do whatever it takes.” – @RishiSunak #coronavirus  https://t.co/rmCLPWvuWr,en,['coronavirus']
1041,borisjohnson,2020-03-18,"However tough the months ahead we have the resolve and the resources to win the fight.  And, to repeat, this government will do whatever it takes.   https://t.co/lg7axA86UB #COVID2019  https://t.co/Kfu8tFvCrM",en,['covid2019']
1040,borisjohnson,2020-03-18,We have the resolve and the resources to win the fight against #Coronavirus  https://t.co/g1SnxlMEzV,en,['coronavirus']
1039,borisjohnson,2020-03-18,"WATCH: a message from @CMO_England on #coronavirus 👇  🏠If anyone in your household has coronavirus symptoms, you must all stay at home  ❌ Do not visit your GP or local hospital  ✅ Visit  https://t.co/hmhS6y5caq to check symptoms and follow the advice  https://t.co/v1zVKCKz8X",en,['coronavirus']
1038,borisjohnson,2020-03-18,"After schools shut their gates from Friday afternoon, they will remain closed for most pupils - for the vast majority of pupils - until further notice.   Read more here:  https://t.co/C5RaaQPGnQ  https://t.co/5jMgPXxDML",en,[]
1037,borisjohnson,2020-03-18,The government has announced that schools will close from Monday  https://t.co/C5RaaQPGnQ  https://t.co/q3I54vQf1V,en,[]
1028,borisjohnson,2020-03-19,"Please be reasonable in your shopping, be considerate and thoughtful of others as you do it.  https://t.co/Dwo7lTIkg7",en,[]
1031,borisjohnson,2020-03-19,"And it’s by this combination of ruthless, determined, collective action, and scientific progress, that we’re already seeing that we will succeed.  If we do this together, we will save many many thousands of lives.  4/5",en,[]
1032,borisjohnson,2020-03-19,"It is absolutely vital that we follow the advice:  Stay at home if you have the symptoms, or if your family has the symptoms.  Avoid unnecessary contact.  Avoid pubs, bars and restaurants.  Work from home, if you possibly can.  And wash your hands.  3/5",en,[]
1029,borisjohnson,2020-03-19,Her Majesty The Queen speaks for us all. We all have a vital role to play. We will do whatever it takes to beat this together.,en,[]
1034,borisjohnson,2020-03-19,"We can send #coronavirus packing in this country, but only if we take the required steps to reduce the peak.  Once we’ve achieved that, then the scientific progress that we are making will really come into play.  1/5",en,['coronavirus']
1033,borisjohnson,2020-03-19,"We’re getting better at testing.  This crisis is so difficult because the enemy is invisible.  The answer is to remove the cloak of invisibility to identify the virus, and to be able to know which of us is carrying it and who has actually had it and got over it.  2/5",en,[]
